study_id,test_article,subject_id,group_id,group_name,group_type,reading_name,reading_value
AS100,C-00012320,S1,G1,Vehicle,negative,Total Score,7.624
AS100,C-00012320,S2,G1,Vehicle,negative,Total Score,5.388
AS100,C-00012320,S3,G1,Vehicle,negative,Total Score,5.472
AS100,C-00012320,S4,G1,Vehicle,negative,Total Score,4.927
AS100,C-00012320,S5,G1,Vehicle,negative,Total Score,6.865
AS100,C-00012320,S6,G1,Vehicle,negative,Total Score,3.698
AS100,C-00012320,S7,G1,Vehicle,negative,Total Score,7.745
AS100,C-00012320,S8,G1,Vehicle,negative,Total Score,5.239
AS100,C-00012320,S9,G1,Vehicle,negative,Total Score,6.319
AS100,C-00012320,S10,G1,Vehicle,negative,Total Score,5.751
AS100,C-00012320,S11,G2,100 mg/kg,test,Total Score,11.929
AS100,C-00012320,S12,G2,100 mg/kg,test,Total Score,9.657
AS100,C-00012320,S13,G2,100 mg/kg,test,Total Score,9.937
AS100,C-00012320,S14,G2,100 mg/kg,test,Total Score,11.748
AS100,C-00012320,S15,G2,100 mg/kg,test,Total Score,10.57
AS100,C-00012320,S16,G2,100 mg/kg,test,Total Score,10.945
AS100,C-00012320,S17,G2,100 mg/kg,test,Total Score,11.66
AS100,C-00012320,S18,G2,100 mg/kg,test,Total Score,10.676
AS100,C-00012320,S19,G2,100 mg/kg,test,Total Score,9.749
AS100,C-00012320,S20,G2,100 mg/kg,test,Total Score,9.777
AS100,C-00012320,S21,G3,Positive Control,positive,Total Score,17.462
AS100,C-00012320,S22,G3,Positive Control,positive,Total Score,13.94
AS100,C-00012320,S23,G3,Positive Control,positive,Total Score,15.678
AS100,C-00012320,S24,G3,Positive Control,positive,Total Score,15.616
AS100,C-00012320,S25,G3,Positive Control,positive,Total Score,17.134
AS100,C-00012320,S26,G3,Positive Control,positive,Total Score,14.9
AS100,C-00012320,S27,G3,Positive Control,positive,Total Score,15.828
AS100,C-00012320,S28,G3,Positive Control,positive,Total Score,15.122
AS100,C-00012320,S29,G3,Positive Control,positive,Total Score,16.042
AS100,C-00012320,S30,G3,Positive Control,positive,Total Score,16.583
AS110,C-00012320,S1,G1,Vehicle,negative,Total Score,7.624
AS110,C-00012320,S2,G1,Vehicle,negative,Total Score,5.388
AS110,C-00012320,S3,G1,Vehicle,negative,Total Score,5.472
AS110,C-00012320,S4,G1,Vehicle,negative,Total Score,4.927
AS110,C-00012320,S5,G1,Vehicle,negative,Total Score,6.865
AS110,C-00012320,S6,G1,Vehicle,negative,Total Score,3.698
AS110,C-00012320,S7,G1,Vehicle,negative,Total Score,7.745
